index,name,rating,category,price,address,city,zipcode,country,full_address,image_url,phone
1,1000 Degrees Pizza,3.5,Pizza,,2941 Main St,Glastonbury,06033,US,"1000 Degrees Pizza, 2941 Main St, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/WJo0np_R4UgQa-PLb7GiYA/o.jpg,(860) 500-1000
2,451 Restaurant & Lounge,3.5,Latin American,$$,341 Franklin Ave,Hartford,06114,US,"451 Restaurant & Lounge, 341 Franklin Ave, Hartford, CT 06114, ",https://s3-media3.fl.yelpcdn.com/bphoto/hUCIrBcAH61s-irRDzpTGw/o.jpg,(860) 206-1556
3,5 And Dime Canteen,4.5,Breakfast & Brunch,$,1100 Main St,Newington,06111,US,"5 And Dime Canteen, 1100 Main St, Newington, CT 06111, ",https://s3-media3.fl.yelpcdn.com/bphoto/cd1vI6R88dEWSL1EO0UYNw/o.jpg,(860) 665-7848
4,50 Elm,4,Cocktail Bars,$$,50 Elm St,Hartford,06106,US,"50 Elm, 50 Elm St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/jLEA1ovuwaMTFjbWc4JrKA/o.jpg,(860) 206-3322
5,99 Restaurants,3,Pubs,$$,3025 Main St,Glastonbury,06033,US,"99 Restaurants, 3025 Main St, Glastonbury, CT 06033, ",https://s3-media1.fl.yelpcdn.com/bphoto/0O7tsBWEUudSMEJd0WUHgQ/o.jpg,(860) 652-9699
6,A-1 Pizza,3,Pizza,$$,274 Farmington Ave,Hartford,06105,US,"A-1 Pizza, 274 Farmington Ave, Hartford, CT 06105, ",https://s3-media3.fl.yelpcdn.com/bphoto/hBxlOg3DDj9_Xze8-RV2gw/o.jpg,(860) 525-6666
7,ABC Pizza House,2.5,Pizza,$,287 New Britain Ave,Hartford,06106,US,"ABC Pizza House, 287 New Britain Ave, Hartford, CT 06106, ",https://s3-media3.fl.yelpcdn.com/bphoto/62Dc9SQlYMKmY6rsJBoLvQ/o.jpg,(860) 247-0234
8,AC Petersen Farms,3,American (Traditional),$$,240 Park Rd,West Hartford,06119,US,"AC Petersen Farms, 240 Park Rd, West Hartford, CT 06119, ",https://s3-media3.fl.yelpcdn.com/bphoto/FiEbhIqFNrIVvgxLemskOw/o.jpg,(860) 233-8483
9,Agave Grill,3.5,Mexican,$$,100 Allyn St,Hartford,06103,US,"Agave Grill, 100 Allyn St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/aD1sgjb9f8f6ImyT49gQ6g/o.jpg,(860) 882-1557
10,Ajamo,4.5,Salad,$,30 State House Sq,Hartford,06103,US,"Ajamo, 30 State House Sq, Hartford, CT 06103, ",https://s3-media3.fl.yelpcdn.com/bphoto/4_IRevI2Q34KxSlZ-z9ThA/o.jpg,(860) 947-0799
