index,name,rating,category,price,address,city,zipcode,country,full_address,image_url,phone,latitudes,longitudes
1,1000 Degrees Pizza,3.5,Pizza,,2941 Main St,Glastonbury,6033,US,"1000 Degrees Pizza, 2941 Main St, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/WJo0np_R4UgQa-PLb7GiYA/o.jpg,(860) 500-1000,41.723593,-72.6153917
2,451 Restaurant & Lounge,3.5,Latin American,$$,341 Franklin Ave,Hartford,6114,US,"451 Restaurant & Lounge, 341 Franklin Ave, Hartford, CT 06114, ",https://s3-media3.fl.yelpcdn.com/bphoto/hUCIrBcAH61s-irRDzpTGw/o.jpg,(860) 206-1556,41.7406653,-72.6763087
3,5 And Dime Canteen,4.5,Breakfast & Brunch,$,1100 Main St,Newington,6111,US,"5 And Dime Canteen, 1100 Main St, Newington, CT 06111, ",https://s3-media3.fl.yelpcdn.com/bphoto/cd1vI6R88dEWSL1EO0UYNw/o.jpg,(860) 665-7848,41.6967699,-72.72282249999999
4,50 Elm,4.0,Cocktail Bars,$$,50 Elm St,Hartford,6106,US,"50 Elm, 50 Elm St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/jLEA1ovuwaMTFjbWc4JrKA/o.jpg,(860) 206-3322,41.7623049,-72.67547449999999
5,99 Restaurants,3.0,Pubs,$$,3025 Main St,Glastonbury,6033,US,"99 Restaurants, 3025 Main St, Glastonbury, CT 06033, ",https://s3-media1.fl.yelpcdn.com/bphoto/0O7tsBWEUudSMEJd0WUHgQ/o.jpg,(860) 652-9699,41.7265545,-72.6176026
6,A-1 Pizza,3.0,Pizza,$$,274 Farmington Ave,Hartford,6105,US,"A-1 Pizza, 274 Farmington Ave, Hartford, CT 06105, ",https://s3-media3.fl.yelpcdn.com/bphoto/hBxlOg3DDj9_Xze8-RV2gw/o.jpg,(860) 525-6666,41.7679391,-72.6992226
7,ABC Pizza House,2.5,Pizza,$,287 New Britain Ave,Hartford,6106,US,"ABC Pizza House, 287 New Britain Ave, Hartford, CT 06106, ",https://s3-media3.fl.yelpcdn.com/bphoto/62Dc9SQlYMKmY6rsJBoLvQ/o.jpg,(860) 247-0234,41.742456,-72.6916047
8,AC Petersen Farms,3.0,American (Traditional),$$,240 Park Rd,West Hartford,6119,US,"AC Petersen Farms, 240 Park Rd, West Hartford, CT 06119, ",https://s3-media3.fl.yelpcdn.com/bphoto/FiEbhIqFNrIVvgxLemskOw/o.jpg,(860) 233-8483,41.7576647,-72.72550020000001
9,Agave Grill,3.5,Mexican,$$,100 Allyn St,Hartford,6103,US,"Agave Grill, 100 Allyn St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/aD1sgjb9f8f6ImyT49gQ6g/o.jpg,(860) 882-1557,41.7684972,-72.678005
10,Ajamo,4.5,Salad,$,30 State House Sq,Hartford,6103,US,"Ajamo, 30 State House Sq, Hartford, CT 06103, ",https://s3-media3.fl.yelpcdn.com/bphoto/4_IRevI2Q34KxSlZ-z9ThA/o.jpg,(860) 947-0799,41.7666206,-72.67276199999999
11,Aladdin Halal,3.5,Halal,$,100 Allyn St,Hartford,6103,US,"Aladdin Halal, 100 Allyn St, Hartford, CT 06103, ",https://s3-media1.fl.yelpcdn.com/bphoto/ii4z7k4pA8YsXps5XN1QwQ/o.jpg,(860) 278-0202,41.7685242,-72.6782589
12,Allegro Cafe,4.5,Diners,$,347 Franklin Ave,Hartford,6114,US,"Allegro Cafe, 347 Franklin Ave, Hartford, CT 06114, ",https://s3-media1.fl.yelpcdn.com/bphoto/ZlqSjJixlEH9cAdGbm8xhg/o.jpg,(860) 296-8139,41.740465,-72.6763471
13,Alpha Original Pizza,3.5,Pizza,,620 Silas Deane Hwy,Wethersfield,6109,US,"Alpha Original Pizza, 620 Silas Deane Hwy, Wethersfield, CT 06109, ",https://s3-media2.fl.yelpcdn.com/bphoto/ADaZAii0B3yOxRXVPiK7Tg/o.jpg,(860) 372-4807,41.7082238,-72.66181
14,Andrea's Restaurante,3.5,Latin American,$$,371 Franklin Ave,Hartford,6114,US,"Andrea's Restaurante, 371 Franklin Ave, Hartford, CT 06114, ",https://s3-media4.fl.yelpcdn.com/bphoto/tzZOoFL5bhnikzP-xixDzg/o.jpg,(860) 296-2100,41.7397631,-72.6761989
15,Angelina's Pizza,4.5,Pizza,$,41 Prospect Ave,West Hartford,6106,US,"Angelina's Pizza, 41 Prospect Ave, West Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/hHlRBNOloOR5m-_KmEPkXQ/o.jpg,(860) 232-4080,41.7463416,-72.71533099999999
16,Angry Tofu Korean Cuisine,4.5,Korean,$$,1030 Silas Deane Hwy,Wethersfield,6109,US,"Angry Tofu Korean Cuisine, 1030 Silas Deane Hwy, Wethersfield, CT 06109, ",https://s3-media3.fl.yelpcdn.com/bphoto/R-T2sPDusL93F2nG2RHC-Q/o.jpg,(860) 513-1004,41.6942659,-72.6562205
17,Antojitos Colombianos,4.5,Colombian,$$$,704 Park St,Hartford,6106,US,"Antojitos Colombianos, 704 Park St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/qtrJF5qxqLM-ybg-UTuhcg/o.jpg,(860) 247-6449,41.7582741,-72.6890052
18,Aqui Me Quedo Restaurant,3.0,Restaurants,$,622 Park St,Hartford,6106,US,"Aqui Me Quedo Restaurant, 622 Park St, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/T4QPlYJBkKeR7bREtlMHCg/o.jpg,(860) 522-1717,41.7582241,-72.68719779999999
19,Aqui Me Quedo Restaurant,4.0,Puerto Rican,$,150 Albany Ave,Hartford,6120,US,"Aqui Me Quedo Restaurant, 150 Albany Ave, Hartford, CT 06120, ",https://s3-media4.fl.yelpcdn.com/bphoto/L7Ng3WxvdFzig8ZHi2Yg9w/o.jpg,(860) 278-2033,41.77550129999999,-72.6793282
20,Arch Street Tavern,3.0,American (Traditional),$$,85 Arch St,Hartford,6103,US,"Arch Street Tavern, 85 Arch St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/6QdZt4_gIi_2wohLcrTbqg/o.jpg,(860) 246-7610,41.7617649,-72.67091500000001
